Agency	CLR	County	MRD	State	Year
Ahoskie	0	Hertford, NC	1	North Carolina	2015
Hertford County	1	Hertford, NC	2	North Carolina	2015
Iredell County	2	Iredell, NC	2	North Carolina	2015
Statesville	0	Iredell, NC	1	North Carolina	2015
Jackson County	2	Jackson, NC	3	North Carolina	2015
Benson	1	Johnston, NC	1	North Carolina	2015
Clayton	1	Johnston, NC	0	North Carolina	2015
Johnston County	2	Johnston, NC	2	North Carolina	2015
Selma	0	Johnston, NC	1	North Carolina	2015
Smithfield	0	Johnston, NC	1	North Carolina	2015
Wilson's Mills	1	Johnston, NC	1	North Carolina	2015
Lee County	2	Lee, NC	2	North Carolina	2015
Kinston	2	Lenoir, NC	4	North Carolina	2015
Lenoir County	1	Lenoir, NC	1	North Carolina	2015
Lincoln County	0	Lincoln, NC	1	North Carolina	2015
Madison County	1	Madison, NC	1	North Carolina	2015
Martin County	0	Martin, NC	1	North Carolina	2015
Williamston	1	Martin, NC	0	North Carolina	2015
Marion	1	McDowell, NC	1	North Carolina	2015
Mcdowell County	1	McDowell, NC	1	North Carolina	2015
Charlotte-Mecklenburg	50	Mecklenburg, NC	61	North Carolina	2015
Cornelius	0	Mecklenburg, NC	1	North Carolina	2015
Davidson	0	Mecklenburg, NC	1	North Carolina	2015
Matthews	1	Mecklenburg, NC	1	North Carolina	2015
Moore County	1	Moore, NC	1	North Carolina	2015
Southern Pines	4	Moore, NC	4	North Carolina	2015
Nash County	0	Nash, NC	1	North Carolina	2015
Rocky Mount	8	Nash, NC	12	North Carolina	2015
Carolina Beach	11	New Hanover, NC	0	North Carolina	2015
New Hanover County	5	New Hanover, NC	5	North Carolina	2015
Wilmington	13	New Hanover, NC	14	North Carolina	2015
Jacksonville	3	Onslow, NC	2	North Carolina	2015
Onslow County	6	Onslow, NC	6	North Carolina	2015
Carrboro	0	Orange, NC	1	North Carolina	2015
Chapel Hill	6	Orange, NC	5	North Carolina	2015
Orange County	1	Orange, NC	0	North Carolina	2015
Pamlico County	3	Pamlico, NC	2	North Carolina	2015
Elizabeth City	1	Pasquotank, NC	1	North Carolina	2015
Pasquotank County	1	Pasquotank, NC	1	North Carolina	2015
Pender County	1	Pender, NC	1	North Carolina	2015
Person County	3	Person, NC	3	North Carolina	2015
Greenville	4	Pitt, NC	7	North Carolina	2015
Pitt County	3	Pitt, NC	4	North Carolina	2015
Winterville	0	Pitt, NC	3	North Carolina	2015
Asheboro	1	Randolph, NC	1	North Carolina	2015
Hamlet	2	Richmond, NC	2	North Carolina	2015
Richmond County	4	Richmond, NC	4	North Carolina	2015
Fairmont	1	Robeson, NC	0	North Carolina	2015
Lumberton	5	Robeson, NC	8	North Carolina	2015
Maxton	0	Robeson, NC	4	North Carolina	2015
Robeson County	7	Robeson, NC	1	North Carolina	2015
Rowland	0	Robeson, NC	2	North Carolina	2015
Reidsville	3	Rockingham, NC	2	North Carolina	2015
Rockingham County	2	Rockingham, NC	2	North Carolina	2015
Rowan County	2	Rowan, NC	2	North Carolina	2015
Salisbury	1	Rowan, NC	5	North Carolina	2015
Rutherford County	3	Rutherford, NC	1	North Carolina	2015
Clinton	2	Sampson, NC	5	North Carolina	2015
Sampson County	4	Sampson, NC	3	North Carolina	2015
Laurinburg	4	Scotland, NC	6	North Carolina	2015
Scotland County	1	Scotland, NC	0	North Carolina	2015
Albemarle	2	Stanly, NC	1	North Carolina	2015
Stanly County	0	Stanly, NC	1	North Carolina	2015
Cherokee Tribal	1	Swain, NC	1	North Carolina	2015
Transylvania County	2	Transylvania, NC	2	North Carolina	2015
Union County	1	Union, NC	1	North Carolina	2015
Vance County	5	Vance, NC	4	North Carolina	2015
Apex	1	Wake, NC	1	North Carolina	2015
Cary	1	Wake, NC	5	North Carolina	2015
Fuquay-Varina	1	Wake, NC	1	North Carolina	2015
Garner	0	Wake, NC	1	North Carolina	2015
Morrisville	1	Wake, NC	0	North Carolina	2015
Rolesville	0	Wake, NC	1	North Carolina	2015
Wake County	5	Wake, NC	1	North Carolina	2015
Wake Forest	3	Wake, NC	2	North Carolina	2015
Plymouth	0	Washington, NC	1	North Carolina	2015
Boone	1	Watauga, NC	1	North Carolina	2015
Watauga County	1	Watauga, NC	1	North Carolina	2015
Goldsboro	5	Wayne, NC	9	North Carolina	2015
Wayne County	1	Wayne, NC	2	North Carolina	2015
Wilkes County	3	Wilkes, NC	2	North Carolina	2015
Wilkesboro	2	Wilkes, NC	2	North Carolina	2015
Wilson	5	Wilson, NC	6	North Carolina	2015
Wilson County	1	Wilson, NC	0	North Carolina	2015
Yadkin County	0	Yadkin, NC	1	North Carolina	2015
Fort Totten Agency	1	Benson, ND	1	North Dakota	2015
Bottineau County	2	Bottineau, ND	2	North Dakota	2015
Bismarck	1	Burleigh, ND	1	North Dakota	2015
Fargo	5	Cass, ND	3	North Dakota	2015
West Fargo	1	Cass, ND	2	North Dakota	2015
Eddy County	1	Eddy, ND	1	North Dakota	2015
Grand Forks	2	Grand Forks, ND	2	North Dakota	2015
Mountrail County	1	Mountrail, ND	1	North Dakota	2015
Lisbon	1	Ransom, ND	1	North Dakota	2015
Standing Rock Agency	3	Sioux, ND	3	North Dakota	2015
Minot	3	Ward, ND	3	North Dakota	2015
Wells County	1	Wells, ND	1	North Dakota	2015
Acadia County	0	Acadia, LA	1	Louisiana	2015
Crowley	2	Acadia, LA	5	Louisiana	2015
Rayne	1	Acadia, LA	1	Louisiana	2015
Ascension County	3	Ascension, LA	7	Louisiana	2015
Gonzales	0	Ascension, LA	1	Louisiana	2015
Assumption County	2	Assumption, LA	2	Louisiana	2015
Avoyelles County	2	Avoyelles, LA	2	Louisiana	2015
Bunkie	1	Avoyelles, LA	1	Louisiana	2015
Bossier City	5	Bossier, LA	5	Louisiana	2015
Bossier County	0	Bossier, LA	1	Louisiana	2015
Caddo County	1	Caddo, LA	2	Louisiana	2015
Shreveport	12	Caddo, LA	22	Louisiana	2015
Calcasieu County	0	Calcasieu, LA	3	Louisiana	2015
De Quincy	0	Calcasieu, LA	1	Louisiana	2015
Iowa	5	Calcasieu, LA	1	Louisiana	2015
Lake Charles	2	Calcasieu, LA	3	Louisiana	2015
Sulphur	2	Calcasieu, LA	2	Louisiana	2015
Caldwell County	1	Caldwell, LA	1	Louisiana	2015
Concordia County	2	Concordia, LA	1	Louisiana	2015
Ferriday	2	Concordia, LA	3	Louisiana	2015
De Soto County	4	De Soto, LA	4	Louisiana	2015
Baton Rouge	29	East Baton Rouge, LA	60	Louisiana	2015
East Baton Rouge County	13	East Baton Rouge, LA	17	Louisiana	2015
East Carroll County	1	East Carroll, LA	1	Louisiana	2015
Franklin County	1	Franklin, LA	1	Louisiana	2015
Iberville County	0	Iberville, LA	1	Louisiana	2015
Jefferson County	15	Jefferson, LA	27	Louisiana	2015
Kenner	3	Jefferson, LA	4	Louisiana	2015
Westwego	1	Jefferson, LA	1	Louisiana	2015
La Salle County	2	La Salle, LA	2	Louisiana	2015
Lafayette	6	Lafayette, LA	19	Louisiana	2015
Lafayette County	4	Lafayette, LA	5	Louisiana	2015
Lafourche County	0	Lafourche, LA	2	Louisiana	2015
Thibodaux	0	Lafourche, LA	1	Louisiana	2015
Ruston	1	Lincoln, LA	1	Louisiana	2015
Denham Springs	1	Livingston, LA	1	Louisiana	2015
Livingston County	3	Livingston, LA	2	Louisiana	2015
